,Basket,Stock,Pass_Rate,Passed_Days,Total_Days
0,Banks,JPM,0.11510791366906475,80,695
1,Banks,BAC,0.2316546762589928,161,695
2,Banks,WFC,0.1539568345323741,107,695
3,Banks,GS,0.13956834532374102,97,695
4,Banks,MS,0.20863309352517986,145,695
5,Tech_Software,MSFT,0.11510791366906475,80,695
6,Tech_Software,GOOGL,0.1093525179856115,76,695
7,Tech_Software,CRM,0.10647482014388489,74,695
8,Tech_Software,ADBE,0.08201438848920864,57,695
9,Tech_Software,ORCL,0.2158273381294964,150,695
10,Semis,NVDA,0.16402877697841728,114,695
11,Semis,AMD,0.04748201438848921,33,695
12,Semis,AVGO,0.18992805755395684,132,695
13,Semis,QCOM,0.09496402877697842,66,695
14,Semis,TXN,0.1079136690647482,75,695
15,Consumer_Staples,KO,0.17985611510791366,125,695
16,Consumer_Staples,PEP,0.07050359712230216,49,695
17,Consumer_Staples,PG,0.12805755395683452,89,695
18,Consumer_Staples,CL,0.28489208633093527,198,695
19,Consumer_Staples,KHC,0.13956834532374102,97,695
20,Energy,XOM,0.07913669064748201,55,695
21,Energy,CVX,0.11079136690647481,77,695
22,Energy,COP,0.1251798561151079,87,695
23,Energy,SLB,0.22446043165467625,156,695
24,Energy,EOG,0.20719424460431654,144,695
25,Pharma,JNJ,0.12949640287769784,90,695
26,Pharma,PFE,0.06330935251798561,44,695
27,Pharma,MRK,0.1841726618705036,128,695
28,Pharma,ABT,0.06330935251798561,44,695
29,Pharma,LLY,0.21007194244604316,146,695
